id,occupancy_status,unit_status,units_in_building,unit_floor,year_built,bedrooms
12103274,1,6,1,-2,3,3
12103279,1,2,8,5,3,3
12103280,1,80,4,2,2,3
12103288,1,5,8,4,4,2
12103311,4,4,9,5,6,1
12103330,1,96,10,5,6,2
12103332,1,32,5,1,3,1
12103337,1,12,10,1,5,2
12103340,1,6,3,1,6,1
12103348,1,12,5,3,10,4
12103352,1,80,6,1,5,1
12103356,4,4,10,3,6,2
12103366,1,32,8,4,4,1
12103371,1,5,8,5,5,2
12103372,1,6,3,2,3,3
12103378,1,32,8,5,4,2
12103379,1,32,8,4,2,2
12103384,1,5,8,4,5,2
12103387,1,32,8,5,5,1
12103389,1,80,10,5,6,1
12103395,1,12,7,1,10,2
12103400,1,80,3,2,4,1
12103433,1,80,5,2,2,2
12103447,1,80,2,2,2,1
12103449,1,5,9,1,5,2
12103458,1,32,9,3,4,1
12103463,1,32,5,3,4,2
12103495,1,32,9,3,4,2
12103511,1,6,2,1,6,3
12103525,1,32,9,6,11,0
12103533,1,32,10,3,6,3
12103538,1,96,1,-2,2,2
12103543,1,90,5,2,4,1
12103591,1,80,1,-2,3,2
12103623,1,6,2,2,2,3
12103628,1,32,7,3,2,2
12103641,1,80,1,1,4,2
12103661,1,80,10,6,6,3
12103668,1,80,3,2,7,3
12103679,1,32,10,6,11,1
12103687,1,6,1,-2,8,3
12103699,1,97,9,4,4,0
12103702,4,4,8,5,5,2
12103713,1,80,9,5,11,1
12103738,1,32,9,3,4,3
12103748,1,32,5,2,4,2
12103755,1,97,10,5,9,3
12103760,1,5,10,6,6,3
12103794,1,32,7,4,10,3
12103795,1,80,5,1,3,2
12103798,1,6,1,-2,3,3
12103837,1,6,2,-2,4,5
12103838,1,5,5,3,5,3
12103849,1,32,9,1,4,1
12103851,1,6,2,2,5,4
12103857,1,80,3,1,1,2
12103873,1,6,1,-2,2,4
12103892,4,4,2,-1,4,2
12103898,1,32,9,3,2,2
12103900,1,6,2,1,4,2
12103907,1,80,5,3,3,1
12103913,1,32,8,5,3,1
12103941,1,80,2,3,6,2
12103952,1,5,9,1,6,1
12103955,4,4,8,3,3,1
12103962,1,6,1,-2,2,4
12103965,1,6,2,2,3,4
12103994,1,12,9,5,2,2
12104002,1,6,2,0,1,3
12104004,1,2,9,5,4,1
12104014,1,80,7,2,3,3
12104015,1,32,10,1,5,3
12104023,1,97,5,3,7,2
12104041,1,32,7,3,3,1
12104065,1,6,1,-2,5,3
12104078,4,4,5,3,4,2
12104087,1,32,5,2,4,2
12104118,1,12,5,2,10,4
12104182,1,32,10,1,4,2
12104192,2,80,9,5,6,2
12104198,1,5,10,6,11,3
12104200,1,6,1,-2,2,3
12104204,1,12,10,5,2,2
12104223,1,32,10,5,6,1
12104253,1,5,10,4,5,2
12104284,1,80,9,1,5,1
12104297,1,32,7,2,4,2
12104310,1,6,2,1,3,2
12104326,1,32,9,2,3,1
12104332,1,5,10,5,5,3
12104340,1,80,3,2,6,2
12104346,1,5,9,4,6,2
12104353,1,80,9,5,4,0
12104370,1,80,10,1,6,1
12104374,1,6,4,2,4,3
12104385,1,80,3,1,3,3
12104405,1,32,10,2,11,2
12104421,1,80,3,4,3,5
12104438,4,4,9,3,5,1
12104457,1,32,9,5,4,2
12104482,1,32,9,5,5,1
12104487,1,96,1,-2,11,3
12104509,1,80,2,2,2,2
12104517,1,32,8,4,3,1
12104546,4,4,5,3,4,0
12104576,1,80,3,3,10,2
12104578,1,32,8,5,4,1
12104582,1,90,9,2,3,1
12104590,1,80,2,1,1,2
12104612,1,97,9,4,7,1
12104619,1,5,10,5,6,3
12104626,1,32,10,5,5,1
12104670,1,5,8,4,4,4
12104682,3,3,5,4,11,2
12104692,1,80,4,3,3,3
12104702,1,32,8,4,3,1
12104706,1,32,8,2,3,2
12104711,1,32,8,4,5,1
12104733,1,80,8,5,6,2
12104740,2,80,3,2,1,2
12104742,1,97,10,3,11,4
12104748,1,80,9,5,7,0
12104753,1,80,4,4,10,3
12104773,1,32,3,2,10,1
12104778,1,80,10,2,6,1
12104782,1,97,5,2,7,2
12104799,2,32,8,1,2,2
12104802,1,12,8,3,5,2
12104812,1,80,3,3,2,0
12104831,1,80,4,1,4,2
12104836,1,32,9,4,5,3
12104861,1,80,9,5,11,2
12104903,1,32,9,5,3,1
12104926,1,80,2,3,2,2
12104931,1,80,10,6,6,1
12104939,1,6,2,1,2,2
12104946,1,80,6,1,2,1
12104966,1,2,10,2,6,3
12104977,1,5,7,4,4,2
12105003,1,80,4,2,4,2
